serial,firm,permission_date,permission_date_raw,permission_no,drug_name,indication,dosage_form,permission_type,source_name,source_url,out_of_scope,out_of_scope_reason,retrieved_utc
11,M/s Enzene Biosciences Limited,2021-01-28,28-01-2021,MF/BIO/21/000014,Teriparatide,Teriparatide is indicated in adults. Treatment of osteoporosis in postmenopausal women,i) Teriparatide Injection 600mcg/ 2.4 mL Pack style – 1 Disposable Pen of 600 mcg/2.4 mL (ii) Teriparatide Injection 750mcg/ 3 mLReusable pen with cartridge in blisters,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
12,M/s Cadila Healthcare Limited,2021-04-23,23-04-21,"MF-266/11, dated 21.06.2011",Pegylated Interferon alfa- 2b,Additional indication - Restricted Emergency Use in the country in emergency situation in the treatment of moderate COVID-19 infection in adults,"Pegylated Interferon alfa- 2b for Injection (r-DNA origin) 50 µg/0.5ml, 80 µg/0.5ml, 100 µg/0.5ml, 120 µg/0.5ml and 150 µg/0.5ml powder for concentrate for solution for infusion in single use vial (lyophilized vial for subcutaneous)",manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
13,M/s Epygen Biotech Private Limited,2021-05-21,21-05-21,MF/BIO/21/000046,Biphasic Isophane Insulin Injection IP,Treatment of Diabetes mellitus,"Dosage form: Suspension for Injection for subcutaneous administration Strength: 40 IU/ml, 10 mL vials",manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
14,M/s Enzene Biosciences Ltd,2021-07-01,01-07-21,MF/BIO/21/000056,Romiplostim injection,"Romiplostim is indicated for the treatment of primary immune thrombocytopenia (ITP) in adult patients who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).","Dosage Form: Lyophilized powder for solution for injection in single use vial to be used as solution for Injection for subcutaneous use after reconstitution Strength: Romiplostim Injection (r-DNA Origin) 125 mcg/vial, 250 mcg/vial and 500 mcg/vial",manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,romiplostim is an oncology molecule,2026-08-05T12:34:01+00:00
15,M/s Enzene Biosciences Ltd,2021-07-01,01-07-21,MF/BULK/BD/190/2 021,Recombinant Romiplostim drug substance,NA,Recombinant Romiplostim drug substance 0.50 ± 10% mg/mL (0.45 to 0.55 mg/mL),manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,romiplostim is an oncology molecule,2026-08-05T12:34:01+00:00
16,"M/s Enzene Biosciences Ltd., Plot No. 165/1/26, Block ‘T’, Bhosari M.I.D.C Area, Bhosari, Pune – 411026, Maharashtra, India",2021-07-20,20-07-2021,MF/BIO/21/00006 2,Denosumab 60mg/ml (r- DNA origin),Denosumab is indicated for the treatment of osteoporosis in postmenopausal women.,solution for subcutaneous Injection in prefilled syringe Concentration: 60mg/ml,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
17,"M/s Enzene Biosciences Ltd., Plot No. 165/1/26, Block ‘T’, Bhosari M.I.D.C Area, Bhosari, Pune – 411026, Maharashtra, India",2021-07-20,20-07-2021,MF/BULK/BD/21 1/2021,Denosumab (r- DNA origin) drug substance,NA,Concentration: 90 ± 20 mg/mL (70 to 110 mg/mL),manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
18,"M/s Bharat Serums and Vaccines Limited, 17th Floor, Hoechst House, NarimanPoi nt, Mumbai (India) - 400021",2021-08-16,16-08-2021,NOC for additional Strength & presentation-Pre Filled Syringe (PFS) vide F.No. BIO/MA/21/00005 2,Recombinant Human Follicle Stimulating Hormone I.P.,"For the treatment of an ovulation in women, non-responsive to clomiphene citrate.",Dosage Form: Solution for Injection in Prefilled Pen for multidose usage Strength:450 IU/0.75ml,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
19,"M/s Bharat Serums and Vaccines Limited, 17th Floor, Hoechst House, NarimanPoi nt, Mumbai (India) - 400021",2021-08-16,16-08-2021,NOC for additional Strength BIO/MA/21/00005,Recombinant Human Follicle Stimulating Hormone I.P.,"For the treatment of an ovulation in women, non-responsive to clomiphene citrate.",Dosage Form: Solution for Injection in Prefilled Pen for multidose usage Strength: 900 IU/1.5mL,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
20,"M/s. Intas Pharmaceu ticals Ltd Corporate House, Near Sola Bridge S.G. Highway, Thaltej Ahmedaba d Gujarat (India) – 380054",2021-08-22,22-08-2021,MF/BIO/21/00008 3,Denosumab," Prevention of skeletal related events in patients with advanced alignancies involving bone,  Prevention of skeletal related events in patients with multiple myeloma,  Treatment of adults and skeletally mature adolescents with giant cell tumour of bone that is unresectable or where surgical resection is likely to result in severe morbidity,  Treatment of hypercalcemia of alignancy refractory to bisphosphonate therapy",Dosage Form: Solution for injection in vial Strength: 70 mg/ml,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
