serial,firm,permission_date,permission_date_raw,permission_no,drug_name,indication,dosage_form,permission_type,source_name,source_url,out_of_scope,out_of_scope_reason,retrieved_utc
83,M/s. Lupin Limited,2024-01-19,19-01-2024,IMP/BIO/24/000009,Biphasic Isophane Insulin Injection I.P. (30% Soluble insulin and 70% Isophane insulin) (Note: The permission is granted to the firm additionally to the original MA holder M/s Eli Lilly),For the treatment of patients with diabetes mellitus who require insulin for the maintenance of glucose homeostasis.,Dosage Form: Suspension for injection in cartridge administered through subcutaneous route. Strength: 100IU/mL (3mL Cartridge),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
84,M/s. Lupin Limited,2024-01-19,19-01-2024,IMP/BIO/24/000008,Isophane Insulin Injection I.P. (Note: The permission is granted to the firm additionally to the original MA holder M/s Eli Lilly),For the treatment of patients with diabetes mellitus who require insulin for the maintenance of glucose homeostasis,Dosage Form: Suspension for injection in cartridge administered through subcutaneous route. Strength: 100IU/mL (3mL Cartridge),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
85,M/s Johnson and Johnson Private Limited,2024-02-15,15-02-2024,IMP/BIO/24/000018,Guselkumab,Guselkumab is indicated for the treatment of adult patients with active psoriatic arthritis,Dosage Form: Single-use pre-filled syringe & single- use pre-filled pen for subcutaneous administration. Strength: 100 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
86,M/s MSD Pharmaceutical s Private Limited,2024-03-06,06-03-2024,IMP/BIO/24/000025 Note: Approval of Additional Indication.,Pembrolizumab,Additional Indication: 1. Pembrolizumab as a monotherapy is indicated for the adjuvant treatment of adults with Stage III melanoma and lymph node involvement who have undergone complete resection. 2. Pembrolizumab as a monotherapy is indicated for the first-line treatment of metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (MMR) colorectal cancer in adults. 3. Pembrolizumab as a monotherapy is indicated for the treatment of adult with relapsed or refractory classical Hodgkin lymphoma who have failed autologous stem cell transplant (ASCT) or following at least two prior therapies when ASCT is not a treatment option.,Dosage Form: Solution in single vial Strength: 25mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,pembrolizumab is an oncology molecule,2026-08-05T12:34:01+00:00
87,M/s Astrazeneca Pharma India Limited,2024-03-26,26-03-2024,IMP/BIO/24/000035 Note: Approval of Additional Indication.,Trastuzumab deruxtecan,Additional Indication: Locally Advanced or Metastatic Gastric Cancer Trastuzumab deruxtecan is indicated for the treatment of adult patients with locally advanced or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma who have received a prior trastuzumab based regimen.,"Dosage Form: Single use sterile, lyophilized powder for concentrate for solution for infusion Strength: 100mg/5mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,trastuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
88,M/s Astrazeneca Pharma India Limited,2024-03-26,26-03-2024,IMP/BIO/24/000036 Note: Approval of Additional Indication.,Trastuzumab deruxtecan,Additional Indication: HER2-Low Metastatic Breast Cancer Trastuzumab deruxtecan is indicated for the treatment of adult patients with unresectable or metastatic HER2-Low (IHC 1+ or IHC 2+/ISH-) breast cancer who have received a prior chemo therapy in the metastatic setting or developed disease recurrence during or within 6 months of completing adjuvant chemotherapy.,"Dosage Form: Single use sterile, lyophilized powder for concentrate for solution for infusion Strength: 100mg/5mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,trastuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
89,M/s Novartis Healthcare Private Limited,2024-03-26,26-03-2024,IMP/BIO/24/000032 PAC- IMP/BIO/25/000147 for approval of additional pack presentation,Erenumab,Prophylaxis of migraine,Dosage Form: Solution for injection/prefilled pen. Strength: 70mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
90,M/s. Lupin Limited,2024-04-08,08-04-2024,IMP/BIO/24/000040,Dulaglutide,"Dulaglutide is a glucagon-like peptide-1 (GLP-1) receptor agonist indicated:  As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.  To reduce the risk of major adverse cardiovascular events (cardiovascular death, non-fatal myocardial infarction, or non-fatal stroke) in adults with type 2 diabetes mellitus who have established cardiovascular disease or multiple cardiovascular risk factors",Dosage Form: Solution for Injection in a single use prefilled pen. Strength: 0.75 mg/0.5 ml in Prefilled Pen and 1.5 mg/0.5 ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
91,M/s. Lupin Limited,2024-04-08,08-04-2024,IMP/BIO/24/000038,Insulin Lispro Injection I.P.,Treatment of patients with Diabetes Mellitus,Dosage Form: 3mL Cartridge and 3mL Prefilled Pen.,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
92,M/s. Lupin Limited,2024-04-09,09-04-2024,IMP/BIO/24/000039,Insulin Lispro Biphasic Injection I.P. (25% Insulin Lispro and 75% Insulin Lispro Protamine suspension),Treatment of patients with Diabetes Mellitus.,Dosage Form: Suspension for injection in 3mL Cartridge & in 3mL prefilled pen Strength: 100 IU/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
93,M/s. Lupin Limited,2024-04-09,09-04-2024,IMP/BIO/24/000037,Insulin Lispro Biphasic Injection I.P. (50% Insulin Lispro and 50% Insulin Lispro Protamine suspension),Indicated for treatment of patients with Diabetes Mellitus.,Dosage Form: Suspension for injection in 3mL Cartridge & in 3mL prefilled pen. Strength: 100 IU/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
94,M/s. Lupin Limited,2024-04-09,09-04-2024,IMP/BIO/24/000041,Insulin Human I.P.,Indicated for treatment of patients with Diabetes Mellitus.,Dosage Form: Concentrate solution for IV infusion in single use vial Solution for injection (Sub cutaneous) in pre-filled syringe. Strength: 100 IU/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
95,M/s Johnson & Johnson Pvt. Ltd.,2024-04-16,16-04-2024,BIO/IMP/20/000067 Note: Approval of Additional Indication,Ustekinumab,Ustekinumab is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis,"Dosage Form: Suspension for injection in 3mL Cartridge. Strength: 130 mg/ 26 ml in vial 45 mg/0.5 ml, 90 mg/ml in PFS",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
96,"M/s Dr. Reddy’s Laboratories Limited,",2024-05-10,10.05.2024,IMP/BIO/24/000049,Toripalimab,"1. Toripalimab is indicated, in combination with cisplatin and gemcitabine, for first line treatment of adults with metastatic or with recurrent, locally advanced nasopharyngeal carcinoma (NPC). 2. Toripalimab is indicated, as a single agent, for the treatment of adults with recurrent unresectable or metastatic NPC with disease progression on or after a platinum-containing chemotherapy.",Dosage Form: Intravenous Solution for Infusion in 6mL vial. Strength: 240mg/6mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,indication names metastatic,2026-08-05T12:34:01+00:00
97,M/s Bristol- Myers Squibb India Pvt. Ltd.,2024-05-22,22.05.2024,IMP/BIO/24/000051 Note: Approval of Additional Indication,Nivolumab,"Non-Small Cell Lung Cancer (NSCLC) - Nivolumab, in combination with platinum-doublet chemotherapy, is indicated as neoadjuvant treatment of adult patients with resectable (tumours ≥ 4cm or node positive) non-small cell lung cancer (NSCLC)",Dosage Form: concentrate for solution for infusion. Strength: 10 mg/ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,nivolumab is an oncology molecule,2026-08-05T12:34:01+00:00
98,M/s Sanofi India Limited,2024-06-10,10.06.2024,IMP/BIO/24/000058,Nirsevimab,Nirsevimab Indicated for the prevention of Respiratory Syncytial Virus (RSV) lower respiratory tract disease in:  Neonates and infants born during or entering their first RSV season.  Children up to 24 months of age who remain vulnerable to severe RSV disease through their second RSV season.,Dosage Form: Solution for injection in pre-filled syringe Strength: 50mg/PFS and 100mg/PFS,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
99,M/s Eli Lilly And Company (India) Pvt. Ltd.,2024-07-09,09.07.2024,IMP/BIO/24/000068,Mirikizumab,Mirikizumab is indicated for the treatment of moderately to severely active ulcerative colitis in adults.,Dosage Form: Solution for subcutaneous administration in Pre-filled Pen Strength: 20mg/mL (300mg/15mL) in Vial and 100mg/mL in Pre-filled Pen,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
100,M/s Novartis Healthcare Private Limited,2024-07-30,30.07.2024,IMP/BIO/24/000073 Note: Approval of,Secukinumab," Psoriatic arthritis Secukinumab alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease-modifying anti- rheumatic drug (DMARD) therapy has been inadequate.  Ankylosing spondylitis For the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy.  Non-radiographic axial spondyloarthritis (nr- axSpA) Indicated for the treatment of active non- radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C- reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non-steroidal anti- inflammatory drugs (NSAIDs).",Dosage Form: solution for injection in pre filled pen Strength: 150mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
101,M/s AstraZeneca Pharma India Limited,2024-09-20,20.09.2024,IMP/BIO/24/000085 Note: Approval of Additional Indication,Durvalumab,"Durvalumab (IMFINZI) in combination with chemotherapy as neoadjuvant treatment, followed by IMFINZI as monotherapy after surgery, is indicated for the treatment of patients with resectable (tumours 4 cm and/or node positive) NSCLC and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.",Dosage Form: Solution for Infusion in Vial. Strength: 120 mg/2.4mL and 500mg/10mL (50mg/mL),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,durvalumab is an oncology molecule,2026-08-05T12:34:01+00:00
102,M/s AstraZeneca Pharma India Limited,2024-10-09,09.10.2024,IMP/BIO/24/000094 Note: Approval of New Presentation,Benralizumab,Benralizumab is indicated as an add-on maintenance treatment for severe asthma with an eosinophilic phenotype in adult patients. The recommended dose is 30 mg Benralizumab administered by subcutaneous injection every 4 weeks for the first 3 doses and then every 8 weeks thereafter.,Dosage Form: Solution for Injection in an Autoinjector Strength: 30mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
103,M/s Bristol- Mayer Squibb India Pvt. Ltd.,2024-10-25,25.10.2024,IMP/BIO/24/000098 Note: Approval of Additional Indication,Ipilimumab,"Esophageal Squamous Cell Carcinoma (ESCC) Ipilimumab, in combination with nivolumab, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC)).","Dosage Form: concentrate for solution for infusion for intravenous injection, Single use vial Strength: 50mg/10mL (5mg/mL)",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,ipilimumab is an oncology molecule,2026-08-05T12:34:01+00:00
104,M/s Astrazeneca Pharma India Limited,2025-01-14,14.01.2025,IMP/BIO/25/000001,Eculizumab,For the treatment of patients with 1. Paroxysmal nocturnal hemoglobinuria (PNH ) 2. Atypical hemolytic uremic syndrome (aHUS) to inhibit complementmediated thrombotic microangiopathy,Dosage Form: Concentrate for solution for infusion in vial Strength: 300 mg (10mg/ml),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
105,M/s Roche Products (India) Private Limited,2025-01-29,29.01.2025,IMP/BIO/25/000008 Note: Approval of Additional Indication,Polatuzumab Vedotin,Polatuzumab vedotin in combination with bendamustine and rituximab is indicated for the treatment of adult patients with diffuse large B-cell lymphoma who have received at least one prior therapy,Dosage Form: Powder for concentrate for solution for infusion Strength: 30 mg/Vial and 140 mg/Vial,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,polatuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
106,M/s Roche Products (India) Private Limited,2025-01-29,29.01.2025,IMP/BIO/25/000007 Note: Approval of Additional Indication,Atezolizumab,Tecentriq as monotherapy is indicated for the first- line treatment of adult patients with advanced NSCLC who are ineligible for platinum-based therapy.,Dosage Form: Concentrate for solution for infusion Strength: 840mg/14ml vial,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,atezolizumab is an oncology molecule,2026-08-05T12:34:01+00:00
107,M/s Novo Nordisk India Pvt Ltd,2025-02-11,11.02.2025,IMP/BIO/25/000010,Insulin Icodec,Treatment of diabetes mellitus in adults.,"Dosage Form: Solution for Injection in pre-filled pen Strength: 700U/1 mL, 1050U/1.5 mL & 2100 U/3 mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
108,M/s Novo Nordisk India Private Limited,2025-02-25,25.02.2025,IMP/BIO/25/000014 Note: Approval of Additional Indication,Semaglutide Injection,"Semaglutide Injection is indicated to reduce the risk of major adverse cardiovascular events (cardiovascular death, non-fatal myocardial infarction, or non-fatal stroke) in adults with established cardiovascular disease and either obesity or overweight.",Dosage Form: Solution for injection in prefilled pen (single dose and multi-dose pen injector) Strength: 0.25mg / 0.5mg / 1mg / 1.7mg / 2.4 mg,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
109,M/s AstraZeneca Pharma India Limited,2025-02-25,25.02.2025,IMP/BIO/25/000016 Note: Approval of Additional Indication,Durvalumab,Durvalumab in combination with Tremelimumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uHCC),Dosage Form: Solution for Infusion. Strength: 120 mg/2.4mL and 500mg/10mL.,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,durvalumab is an oncology molecule,2026-08-05T12:34:01+00:00
110,M/s MSD Pharmaceutical s Private Limited,2025-02-20,20.02.2025,IMP/BIO/25/000015,Sotatercept,"Sotatercept in combination with standard pulmonary arterial hypertension (PAH) therapy, is indicated for the treatment of adults with PAH, (World Health Organization [WHO] Group 1) to increase exercise capacity, improve WHO functional class (FC), and reduce the risk of clinical worsening events.",Dosage Form: Powder for solution for injection in single dose vial. Strength: 45 mg & 60 mg Single-dose vial,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
111,M/s Astrazeneca Pharma India Limited,2025-03-06,06.03.2025,IMP/BIO/25/000022 Note: Approval of Additional Indication,Durvalumab,Durvalumab is indicated for the treatment of patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following platinum-based chemoradiation therapy (CRT).,Dosage Form: Solution for Infusion. Strength: 120mg/2.4ml & 500 mg/10ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,durvalumab is an oncology molecule,2026-08-05T12:34:01+00:00
112,M/s Roche Products (India) Pvt. Ltd.,2025-03-19,19.03.2025,IMP/BIO/25/000026,Crovalimab,Crovalimabis a complement C5 inhibitor indicated for the treatment of adult and pediatric patients 13 years and older with paroxysmal nocturnal hemoglobinuria (PNH) and body weight of at least 40 kg.,Dosage Form: Solution for infusion in a single- dose vial Strength:340mg/2ml (170mg/ml),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
113,M/s MSD Pharmaceutical s Private Limited,2025-04-21,21.04.2025,IMP/BIO/25/000043 Note: Approval of Additional Indication,Pembrolizumab,"1. Pembrolizumab as monotherapy is indicated for the adjuvant treatment of adults with non-small cell lung carcinoma who are at high risk of recurrence following complete resection and platinum-based chemotherapy. 2. Pembrolizumab) in combination with platinum- containing chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment, is indicated for the treatment of resectable non-small cell lung carcinoma at high risk of recurrence in adults. (For selection criteria, see clinical studies)",Dosage Form: Solution for infusion Strength: 100 mg/4mL (25 mg/ml),import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,pembrolizumab is an oncology molecule,2026-08-05T12:34:01+00:00
114,M/s Novo Nordisk India Private Limited,2025-04-28,28.04.2025,IMP/BIO/25/000048,Concizumab,Concizumab injection is indicated for routine prophylaxis of bleeding in patients with 1. Haemophilia A (congenital factor VIII deficiency) with FVIII inhibitors and of 12 years of age or more. 2. Haemophilia B (congenital factor IX deficiency) with FIX inhibitors and of 12 years of age or more.,"Dosage Form: Solution for Injection in pre-filled pen. Strength: 15mg/1.5mL, 60mg/1.5mL, 150mg/1.5mL and 300mg/3mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
115,M/s Glenmark Pharmaceutical s Ltd.,2025-05-02,02.05.2025,IMP/BIO/25/000052,Tislelizumab,"1. Tislelizumab as monotherapy is indicated for the treatment of adult patients with unresectable, recurrent, locally advanced or metastatic esophageal squamous cellcarcinoma (ESCC) after prior chemotherapy. Tislelizumab in combination with pemetrexed and platinum containing chemotherapy is indicated for the first-line treatment of patients with locally advanced or metastatic non- squamous non-small cell lung cancer (NSCLC), with PD-L1 expression ≥50% but no epidermal growth factor receptor (EGFR) or anaplastic lymphoma kinase (ALK) genomic tumour aberrations. Tislelizumab in combination with carboplatin and either paclitaxel or nab-paclitaxel is indicated for the first-line treatment of patients with locally advanced or metastatic squamous NSCLC. 4. Tislelizumab as monotherapy is indicated for the treatment of patients with locally advanced or metastatic NSCLC after prior chemotherapy","Dosage form: Concentrate for solution for infusion Strength: 100 mg/10ml, in Vial",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,tislelizumab is an oncology molecule,2026-08-05T12:34:01+00:00
116,M/s AstraZeneca Pharma India Limited,2025-05-07,07.05.2025,IMP/BIO/25/000053 Note: Approval of Additional Indication,Trastuzumab Deruxtecan,"HER 2 low and HER 2 ultralow breast cancer: Enhertu is indicated as a monotherapy for the treatment of adult patients with unresectable or metastatic HER2- low (IHC 1+ and IHC 2+/ISH-) or HER2- ultralow (IHC0 with membrane staining) BC, who have received at least one endocrine therapy in metastatic setting","Dosage Form: Single use sterile, lyophilized powder for concentrate for solution for infusion Strength: 100 mg/ 5 ml",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,trastuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
117,"M/s Johnson & Johnson Pvt. Ltd.,",2025-05-15,15.05.2025,IMP/BIO/25/000057 Note: Approval of Additional Indication,Amivantamab,Amivantamab in combination with carboplatin and pemetrexed for the first-line treatment of adult patients with locally advanced or metastatic non- small cell lung cancer(NSCLC) with activating epidermal-growth factor receptor (EGFR) Exon 20 insertion mutations,Dosage Form: Liquid concentrate for infusion. Strength: 350 mg,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,indication names metastatic,2026-08-05T12:34:01+00:00
118,M/s AstraZeneca Pharma India Limited,2025-05-28,28.05.2025,IMP/BIO/25/000066 Note: Approval of Additional Indication,Benralizumab,Benralizumab is indicated as an add-on treatment for adult patients with relapsing or refractory eosinophilic granulomatosis with polyangiitis (EGPA).,Dosage Form: Solution for injection Strength: 30mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
119,M/s Johnson & Johnson Pvt. Ltd.,2025-05-30,30.05.2025,IMP/BIO/25/000059 Note: Approval of Additional Indication,Ustekinumab,Ustekinumab injection indicated for the treatment of adult patients with moderate to severe plaque psoriasis (PsO) who are candidates for phototherapy or systemic therapy.,"Dosage Form: Solution for injection Strength: 45 mg/0.5 ml, 90 mg/ml in a single dose PFS.",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
120,M/s Bayer Pharmaceutic als Pvt. Ltd.,2025-05-30,30.05.2025,IMP/BIO/25/000058,"Antihemophilic Factor (Recombinant Factor VIII) PEGylated-aucl 500IU, 1000IU, 2000IU & 3000IU",Indicated for use in previously treated adults and adolescents (12 years of age and older) with hemophilia A (congenital Factor VIII deficiency) for:  On-demand treatment and control of bleeding episodes.  Perioperative management of bleeding  Routine prophylaxis to reduce the frequency of bleeding episodes.,"Dosage Form: Lyophilized powder for solution for injection along with vial adapter Strength: 500IU, 1000IU, 2000IU & 3000IU",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
121,"M/s Intas Pharmaceutical s Ltd,",2025-05-30,30.05.2025,IMP/BIO/25/000065,Serplulimab,Small Cell Lung Cancer: Serplulimab in combination with carboplatin and etoposide is indicated for the first-line treatment for adult patients with extensive stage small cell lung cancer (ES-SCLC),Dosage Form: Concentrate for solution for infusion. Strength: 10 mg/ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,indication names cancer,2026-08-05T12:34:01+00:00
122,M/s AstraZeneca Pharma India Limited,2025-07-01,01.07.2025,IMP/BIO/25/000077 Note: Approval of Additional Indication,Durvalumab,Durvalumab in combination with carboplatin and paclitaxel is indicated for the first line treatment of adults with primary advanced or recurrent endometrial cancer who are candidates for systemic therapy followed by maintenance treatment with Durvalumab in combination with olaparib in endometrial cancer that is mismatch repair proficient (pMMR).,Dosage Form: Solution for Infusion. Strength: 120mg/2.4ml & 500 mg/10ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,durvalumab is an oncology molecule,2026-08-05T12:34:01+00:00
123,M/s Sun Pharmaceutical Industries Limited,2025-07-02,02.07.2025,IMP/BIO/25/000082,Tildrakizumab Injection (r-DNA origin),Indicated for the treatment of adults with moderate- to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy.,Dosage Form: Single Dose Pre-filled Syringe with stalked needle and rigid needle shield and closed with a plunger stopper. Strength: 100mg/ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
124,M/s Bristol- Myers Squibb India Pvt. Ltd.,2025-07-04,04.07.2025,IMP/BIO/25/000081 Note: Approval of Additional Indication,Luspatercept,"Luspatercept is indicated in adults for the treatment of transfusion-dependentanaemia due to very low, low and intermediate-risk myelodysplastic syndromes.",Lyophilized Powder for solution for injection in vial. Strength: 25 mg and 75 mg,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
125,M/s Novartis Healthcare Private Limited,2025-07-04,04.07.2025,IMP/BIO/25/000083 Note:,Secukinumab,Secukinumab is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy.,Dosage Form: solution for injection in pre filled pen Strength: 150mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
126,M/s AstraZeneca Pharma India Limited,2025-07-11,11.07.2025,IMP/BIO/25/000087 Note: Approval of Additional Indication,Durvalumab,"Imfinzi in combination with gemcitabine and cisplatin as neoadjuvant treatment, followed by single agent IMFINZI as adjuvant treatment following radical cystectomy, for the treatment of adult patients with muscle invasive bladder cancer (MIBC)",Dosage Form: Solution for Infusion. Strength: 120mg/2.4ml & 500 mg/10ml,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,durvalumab is an oncology molecule,2026-08-05T12:34:01+00:00
