molecule_read,brand_read,strength_read,dosage_type,raw,cghs_list,standing_technical_committee_required,approved_by,restricted,stc_cost_triggers,source_name,source_file,out_of_scope,out_of_scope_reason,retrieved_utc
Albumin Bound Paclitaxel,,100 MG,Inj.,ALBUMIN BOUND PACLITAXEL 100 MG (PACK SIZE1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Albutein,,,Inj.,ALBUTEIN,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Alecensa Capsule,,150mg,Tab,Alecensa 150mg Capsule,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Alectinib,ALECENSA,150 MG,Tab,ALECTINIB 150 MG (ALECENSA )(PACK SIZE 1X224),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Alpelisib,,150MG,Tab,ALPELISIB 150MG TAB (PACK 1X28),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Alpelisib,,200MG,Tab,ALPELISIB 200MG (PACK 1X14),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Alpelisib,,250MG,Tab,ALPELISIB 250MG TAB (PACK 1X14 ),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Anastrozole,,1MG,Caps,ANASTROZOLE 1MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,anastrozole is an oncology molecule,2026-08-05T15:26:38+00:00
Atezolizumab 1X1,TECENTRIQ,1200 MG/ 20 ML,Inj.,ATEZOLIZUMAB 1200 MG/ 20 ML (TECENTRIQ) (1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,atezolizumab is an oncology molecule,2026-08-05T15:26:38+00:00
Atezolizumab 1X1,TECENTRIQ,1875 MG/ 15 ML,Inj.,ATEZOLIZUMAB 1875 MG/ 15 ML (TECENTRIQ) (1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,atezolizumab is an oncology molecule,2026-08-05T15:26:38+00:00
Augplat Injection,,250mcg,Inj.,Augplat 250mcg Injection,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Axitinib,,1 MG,Tab,AXITINIB 1 MG (PACK SIZE 1X14),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Axitinib,,5 MG,Tab,AXITINIB 5 MG (PACK SIZE 1X14),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Azacitidine,,100 MG,Inj.,AZACITIDINE 100 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baricitinib,,2 MG,Tab,BARICITINIB 2 MG (PACK 1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baricitinib,,4 MG,Tab,BARICITINIB 4 MG (PACK 1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Bendamustine Hcl,,100 MG,Inj.,BENDAMUSTINE HCL 100 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Bevacizumab,CIZUMAB,100 MG,Inj.,BEVACIZUMAB 100 MG INJ (CIZUMAB) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,bevacizumab is an oncology molecule,2026-08-05T15:26:38+00:00
Bevacizumab,VERSAVO,100 MG,Inj.,BEVACIZUMAB 100 MG INJ (VERSAVO)(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,bevacizumab is an oncology molecule,2026-08-05T15:26:38+00:00
Bicalutamide,,50MG,Tab,BICALUTAMIDE 50MG (PACK SIZE1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Biovisc Ortho Single Hyaluronic Acid,,90MG,Inj.,BIOVISC ORTHO SINGLE 90MG 3 ML HYALURONIC ACID,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Bortezomib,,2 MG,Inj.,BORTEZOMIB 2 MG (PACK SIZE1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Botulinum Toxin A,,100IU,Inj.,BOTULINUM TOXIN A 100IU (PACK SIZE1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Botulinum Toxin A,,50IU,Inj.,BOTULINUM TOXIN A 50IU (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Brolucizumab,,120 MG/ML,Inj.,BROLUCIZUMAB 120 MG/ML INJ (PACK 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Cabazitaxel,,60 MG,Inj.,CABAZITAXEL 60 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Capecitabine Cyclophosphamide,,400mg,Tab,CAPECITABINE 400mg CYCLOPHOSPHAMIDE 20mg Tab (PACK SIZE 1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Capecitabine,,500MG,Tab,CAPECITABINE 500MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Capecitabine Cyclophosphamide,,700 MG,Tab,CAPECITABINE 700 MG CYCLOPHOSPHAMIDE 30 MG Tab (PACK SIZE 1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Carboplatin,,150MG,Inj.,CARBOPLATIN 150MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Carboplatin,,450 MG,Inj.,CARBOPLATIN 450 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Carfilazomib,CARFIZOME,60 MG,Inj.,CARFILAZOMIB 60 MG (CARFIZOME) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Ceritinib,SPEXIB HGC,150 MG,Caps,CERITINIB 150 MG (SPEXIB HGC) (PACK SIZE 1X150),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Cetuximab,CETUXA,100 MG,Inj.,CETUXIMAB 100 MG (CETUXA) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,cetuximab is an oncology molecule,2026-08-05T15:26:38+00:00
Chlorambucil,,2 MG,Tab,CHLORAMBUCIL 2 MG (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Chlorambucil,,5 MG,Tab,CHLORAMBUCIL 5 MG (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Clostridium Borulinum Type A 1X1,DYSPORT,500 IU,Inj.,CLOSTRIDIUM BORULINUM TYPE A 500 IU (DYSPORT)(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Comcapsy / Tablet,,400mg,Tab,Comcapsy 400mg/20mg Tablet,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Comcapsy 700/ Tablet,,30 mg,Tab,Comcapsy 700/30 mg Tablet,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Crizotinib,CRIZALK,200 MG,Caps,CRIZOTINIB 200 MG (CRIZALK) (PACK SIZE 1X60),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Crizotinib,CRIZALK,250 MG,Tab,CRIZOTINIB 250 MG (CRIZALK) (PACK SIZE 1X60),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Cross Linked Sodium Hyaluronate Monovisc,,22MG/ML,Inj.,CROSS LINKED SODIUM HYALURONATE 22MG/ML(88MG/4ML PFS(INJ MONOVISC 4ML SYRINGE),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Cyclosporin Syp,ARPIMUNE ME LIQUIED,100MG,Syrup,CYCLOSPORIN SYP 100MG (ARPIMUNE ME LIQUIED),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Daclatasvir,,60 MG,Tab,DACLATASVIR 60 MG (PACK SIZE 1X28),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Daratumumab,DARAZLEX,100 MG,Inj.,DARATUMUMAB 100 MG (DARAZLEX) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,daratumumab is an oncology molecule,2026-08-05T15:26:38+00:00
Daratumumab,,1800 MG,Inj.,DARATUMUMAB 1800 MG INJ (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,daratumumab is an oncology molecule,2026-08-05T15:26:38+00:00
Daratumumab,DARAZLEX,400 MG,Inj.,DARATUMUMAB 400 MG (DARAZLEX) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,daratumumab is an oncology molecule,2026-08-05T15:26:38+00:00
Darbepoetin Alfa 1 X 1,,200 MCG,Inj.,DARBEPOETIN ALFA 200 MCG (1 X 1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Darbepoietin,,100 MCG,Inj.,DARBEPOIETIN 100 MCG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Darbepoietin,,25 MCG,Inj.,DARBEPOIETIN 25 MCG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Darbepoietin,CRESP,40 MCG,Inj.,DARBEPOIETIN 40 MCG (CRESP) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dasatanib,,20 MG,Tab,DASATANIB 20 MG (PACK SIZE1X60),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dasatanib,,50 MG,Tab,DASATANIB 50 MG (PACK SIZE1X60),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dasatanib,,70 MG,Tab,DASATANIB 70 MG (PACK SIZE1X60),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Decitabine,,50 MG,Inj.,DECITABINE 50 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Deferasirox,,100MG,Tab,DEFERASIROX 100MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Deferasirox,,250 MG,Tab,DEFERASIROX 250 MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Deferasirox,,400MG,Tab,DEFERASIROX 400MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Deferasirox,,500 MG,Tab,DEFERASIROX 500 MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Degarelix 1 Pack Size - 2 Of,,240 MG,Inj.,DEGARELIX 240 MG INJ (1 PACK SIZE - 2 INJ of 120 mg),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Degarelix,,80 MG,Inj.,DEGARELIX 80 MG INJ (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Denosumab,,120 MG,Inj.,DENOSUMAB 120 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Denosumab,,60 MG,Inj.,DENOSUMAB 60 MG - (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Desferioxamine,DESFERAL,500MG,Syringe,DESFERIOXAMINE 500MG (DESFERAL) (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dexamethasone,OZURDEX,0.7 MG,Inj.,DEXAMETHASONE 0.7 MG (OZURDEX) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dimethyl Fumarate,,120 MG,Caps,DIMETHYL FUMARATE 120 MG (PACK 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dimethyl Fumarate,,240 MG,Caps,DIMETHYL FUMARATE 240 MG (PACK 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Docetaxel,,120MG,Inj.,DOCETAXEL 120MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Docetaxel,,20 MG,Inj.,DOCETAXEL 20 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Docetaxel,,80 MG,Inj.,DOCETAXEL 80 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Docetaxel Lipid Susp,,20 MG,Inj.,DOCETAXEL LIPID SUSP 20 MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Docetaxel Lipid Susp,,80 MG,Inj.,DOCETAXEL LIPID SUSP 80 MG (Pack Size 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Durvalumab,,120 MG,Inj.,DURVALUMAB 120 MG( PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,durvalumab is an oncology molecule,2026-08-05T15:26:38+00:00
Durvalumab,,500 MG,Inj.,DURVALUMAB 500 MG,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,durvalumab is an oncology molecule,2026-08-05T15:26:38+00:00
Eltrombopag Olamine,,25 MG,Tab,ELTROMBOPAG OLAMINE 25 MG (PACK SIZE1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,eltrombopag is an oncology molecule,2026-08-05T15:26:38+00:00
Eltrombopag Olamine,,50 MG,Tab,ELTROMBOPAG OLAMINE 50 MG (PACK SIZE1X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,eltrombopag is an oncology molecule,2026-08-05T15:26:38+00:00
Emicizumab,,105MG/0.7ML,Inj.,EMICIZUMAB 105MG/0.7ML,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Emicizumab,,150MG/1ML,Inj.,EMICIZUMAB 150MG/1ML,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Emicizumab,,30MG/ML,Inj.,EMICIZUMAB 30MG/ML,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Emicizumab /0 4M,,60MG,Inj.,EMICIZUMAB 60MG/0.4M,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Entecavir,,0.5MG,Tab,ENTECAVIR 0.5MG (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Entecavir,,1MG,Tab,ENTECAVIR 1MG (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Enzalutamide Obnyx,,40 MG,Caps,ENZALUTAMIDE 40 MG CAP (PACK SIZE 1X4) OBNYX,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Enzalutamide Enzana,,40 MG,Caps,ENZALUTAMIDE 40 MG CAP (PACK SIZE 1X7) ENZANA,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Epirubicin,,10MG,Inj.,EPIRUBICIN 10MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Epirubicin,,50MG,Inj.,EPIRUBICIN 50MG (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Eribulin Mesylate,,1mg,Inj.,ERIBULIN MESYLATE 1mg INJ (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erlotinib,,100 MG,Tab,ERLOTINIB 100 MG TAB (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erlotinib,,150 MG,Caps,ERLOTINIB 150 MG CAP (PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 10K,,,Inj.,ERYTHROPOIETIN 10K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 20K,,,Inj.,ERYTHROPOIETIN 20K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 2K,,,Inj.,ERYTHROPOIETIN 2K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 40K,,,Inj.,ERYTHROPOIETIN 40K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 4K,RELIPOIETIN,,Inj.,ERYTHROPOIETIN 4K (RELIPOIETIN) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 4K,RENOCRIT,,Inj.,ERYTHROPOIETIN 4K (RENOCRIT) (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 5K,,,Syringe,ERYTHROPOIETIN 5K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 6K,,,Inj.,ERYTHROPOIETIN 6K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erythropoietin 8K,,,Inj.,ERYTHROPOIETIN 8K (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Etanercept,,25MG,Inj.,ETANERCEPT 25MG INJ (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Etanercept,,50 MG,Inj.,ETANERCEPT 50 MG INJ (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Everolimus,,0.25 MG,Tab,EVEROLIMUS 0.25 MG TAB (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Everolimus,,0.5 MG,Tab,EVEROLIMUS 0.5 MG TAB (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Everolimus,,10 MG,Tab,EVEROLIMUS 10 MG (PACK SIZE 1X10),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
