molecule_read,brand_read,strength_read,dosage_type,raw,cghs_list,standing_technical_committee_required,approved_by,restricted,stc_cost_triggers,source_name,source_file,out_of_scope,out_of_scope_reason,retrieved_utc
Erenumab,,70 mg/ml,Inj.,ERENUMAB SOLUTION INJ 70 mg/ml (PACK SIZE 1X1)(PFS),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Evolocumab,,140 MG,Inj.,EVOLOCUMAB 140 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Gilteritinib,XOSPATA,40 MG,Tab,GILTERITINIB (XOSPATA) 40 MG TAB (PACK SIZE 1X21),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Guselkumab,,100 mg,Solution,GUSELKUMAB 100 mg SOLUTION (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Imiglucerase,,400 IU,Inj.,IMIGLUCERASE 400 IU INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Enfortumab Vedotin,,30 mg,Inj.,Inj. Enfortumab Vedotin 30 mg (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,enfortumab is an oncology molecule,2026-08-05T15:26:38+00:00
Inclisiran,SYBRAVA,284 MG/1.5 ML,Inj.,INJ. INCLISIRAN (SYBRAVA) 284 MG/1.5 ML,STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Innotuzumab Ozogamicin,,1MG,Inj.,INNOTUZUMAB OZOGAMICIN 1MG INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Ipilimumab,,50 MG,Inj.,IPILIMUMAB 50 MG INJ(PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,ipilimumab is an oncology molecule,2026-08-05T15:26:38+00:00
Ivosidenib,TIBSOVO,250 MG,Tab,IVOSIDENIB 250 MG (TIBSOVO) (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Ixekizumab,COPELLOR,80 MG,Pfs,IXEKIZUMAB 80 MG (COPELLOR ) PFS (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Letermovir,ANVIMO,240 MG,Tab,LETERMOVIR 240 MG TAB (ANVIMO) (PACK SIZE 1X10),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Letermovir,ANVIMO,480 MG,Tab,LETERMOVIR 480 MG TAB (ANVIMO) (PACK SIZE 1X10),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Luspatercept,,25 MG,Inj.,LUSPATERCEPT 25 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Luspatercept,,75 MG,Inj.,LUSPATERCEPT 75 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Mavacamten,,10 MG,Caps,MAVACAMTEN 10 MG CAP (PACK SIZE 1X14),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Mavacamten,,15 MG,Caps,MAVACAMTEN 15 MG CAP (PACK SIZE 1X14),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Mavacamten,,2.5 MG,Caps,MAVACAMTEN 2.5 MG CAP (PACK SIZE 1X14),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Mavacamten,,5 MG,Caps,MAVACAMTEN 5 MG CAP (PACK SIZE 1X14),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Mepolizumab,,100 MG,Pfs,MEPOLIZUMAB 100 MG INJ (PACK SIZE 1X1)(PFS),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Niraparib,,100 MG,Tab,NIRAPARIB 100 MG TAB (PACK SIZE 8X7),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Nonacog Beta Pegol And Glycopegylated Recombinant,,1000 IU,Inj.,NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 1000 IU INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Nonacog Beta Pegol And Glycopegylated Recombinant,,2000 IU,Inj.,NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 2000 IU INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Nonacog Beta Pegol And Glycopegylated Recombinant,,500 IU,Inj.,NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 500 IU INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Obinutuzumab,,1000 MG,Inj.,OBINUTUZUMAB 1000 MG INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,obinutuzumab is an oncology molecule,2026-08-05T15:26:38+00:00
Ocrelizumab,OCREVUS,300MG/1 ML,Inj.,OCRELIZUMAB (OCREVUS) 300MG/1 ML INJ,STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Pegylated Liposomal Irinotecan,,4.3 MG/ML,Vial,PEGYLATED LIPOSOMAL IRINOTECAN 4.3 MG/ML (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Polatuzumab Vedotin,POLIVY,30 MG,Inj.,POLATUZUMAB VEDOTIN (POLIVY) 30 MG INJ (PACK 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,polatuzumab is an oncology molecule,2026-08-05T15:26:38+00:00
Ramucirumab,,100 MG,Inj.,RAMUCIRUMAB 100 MG 10 ML INJ(PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,ramucirumab is an oncology molecule,2026-08-05T15:26:38+00:00
Ramucirumab,,500 MG,Inj.,RAMUCIRUMAB 500 MG 50 ML INJ(PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,ramucirumab is an oncology molecule,2026-08-05T15:26:38+00:00
