medicine,nlem_section,care_levels,care_levels_expanded,formulations,source_name,source_url,source_pdf,retrieved_utc
Morphine,1.3.4,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 10 mg/mL"", ""Tablet 10 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Atracurium,1.4.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 10 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Baclofen,1.4.2,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 5 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Neostigmine,1.4.3,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 15 mg"", ""Injection 0.5 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Succinylcholine,1.4.4,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 50 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Vecuronium,1.4.5,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Powder for injection 4 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Acetylsalicylic acid,2.1.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 300 mg to 500 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Diclofenac,2.1.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 50 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Ibuprofen,2.1.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 200 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Mefenamic acid,2.1.4,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 250 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
